timeframe,tp,sl,hold,min_adx,min_rsi,win_rate,total_signals
15m,0.01,0.015,15,18,56,0,0
15m,0.01,0.015,15,22,48,0,0
15m,0.01,0.015,15,22,52,0,0
15m,0.01,0.015,15,22,56,0,0
15m,0.01,0.02,5,14,48,0,0
15m,0.01,0.02,5,14,52,0,0
15m,0.01,0.02,5,14,56,0,0
15m,0.01,0.02,5,18,48,0,0
15m,0.01,0.02,5,18,52,0,0
15m,0.01,0.02,5,18,56,0,0
15m,0.01,0.02,5,22,48,0,0
15m,0.01,0.02,5,22,52,0,0
15m,0.01,0.02,5,22,56,0,0
15m,0.01,0.02,10,14,48,0,0
15m,0.01,0.02,10,14,52,0,0
15m,0.01,0.02,10,14,56,0,0
15m,0.01,0.02,10,18,48,0,0
15m,0.01,0.02,10,18,52,0,0
15m,0.01,0.02,10,18,56,0,0
15m,0.01,0.02,10,22,48,0,0
15m,0.01,0.02,10,22,52,0,0
15m,0.01,0.02,10,22,56,0,0
15m,0.01,0.02,15,14,48,0,0
15m,0.01,0.02,15,14,52,0,0
15m,0.01,0.02,15,14,56,0,0
15m,0.01,0.02,15,18,48,0,0
15m,0.01,0.02,15,18,52,0,0
15m,0.01,0.02,15,18,56,0,0
15m,0.01,0.02,15,22,48,0,0
15m,0.01,0.02,15,22,52,0,0
15m,0.01,0.02,15,22,56,0,0
15m,0.02,0.01,5,14,48,0,0
15m,0.02,0.01,5,14,52,0,0
15m,0.02,0.01,5,14,56,0,0
15m,0.02,0.01,5,18,48,0,0
15m,0.02,0.01,5,18,52,0,0
15m,0.02,0.01,5,18,56,0,0
15m,0.02,0.01,5,22,48,0,0
15m,0.02,0.01,5,22,52,0,0
15m,0.02,0.01,5,22,56,0,0
15m,0.02,0.01,10,14,48,0,0
15m,0.02,0.01,10,14,52,0,0
15m,0.02,0.01,10,14,56,0,0
15m,0.02,0.01,10,18,48,0,0
15m,0.02,0.01,10,18,52,0,0
15m,0.02,0.01,10,18,56,0,0
15m,0.02,0.01,10,22,48,0,0
15m,0.02,0.01,10,22,52,0,0
15m,0.02,0.01,10,22,56,0,0
15m,0.02,0.01,15,14,48,0,0
15m,0.02,0.01,15,14,52,0,0
15m,0.02,0.01,15,14,56,0,0
15m,0.02,0.01,15,18,48,0,0
15m,0.02,0.01,15,18,52,0,0
15m,0.02,0.01,15,18,56,0,0
15m,0.02,0.01,15,22,48,0,0
15m,0.02,0.01,15,22,52,0,0
15m,0.02,0.01,15,22,56,0,0
15m,0.02,0.015,5,14,48,0,0
15m,0.02,0.015,5,14,52,0,0
15m,0.02,0.015,5,14,56,0,0
15m,0.02,0.015,5,18,48,0,0
15m,0.02,0.015,5,18,52,0,0
15m,0.02,0.015,5,18,56,0,0
15m,0.02,0.015,5,22,48,0,0
15m,0.02,0.015,5,22,52,0,0
15m,0.02,0.015,5,22,56,0,0
15m,0.02,0.015,10,14,48,0,0
15m,0.02,0.015,10,14,52,0,0
15m,0.02,0.015,10,14,56,0,0
15m,0.02,0.015,10,18,48,0,0
15m,0.02,0.015,10,18,52,0,0
15m,0.02,0.015,10,18,56,0,0
15m,0.02,0.015,10,22,48,0,0
15m,0.02,0.015,10,22,52,0,0
15m,0.02,0.015,10,22,56,0,0
15m,0.02,0.015,15,14,48,0,0
15m,0.02,0.015,15,14,52,0,0
15m,0.02,0.015,15,14,56,0,0
15m,0.02,0.015,15,18,48,0,0
15m,0.02,0.015,15,18,52,0,0
15m,0.02,0.015,15,18,56,0,0
15m,0.02,0.015,15,22,48,0,0
15m,0.02,0.015,15,22,52,0,0
15m,0.02,0.015,15,22,56,0,0
15m,0.02,0.02,5,14,48,0,0
15m,0.02,0.02,5,14,52,0,0
15m,0.02,0.02,5,14,56,0,0
15m,0.02,0.02,5,18,48,0,0
15m,0.02,0.02,5,18,52,0,0
15m,0.02,0.02,5,18,56,0,0
15m,0.02,0.02,5,22,48,0,0
15m,0.02,0.02,5,22,52,0,0
15m,0.02,0.02,5,22,56,0,0
15m,0.02,0.02,10,14,48,0,0
15m,0.02,0.02,10,14,52,0,0
15m,0.02,0.02,10,14,56,0,0
15m,0.02,0.02,10,18,48,0,0
15m,0.02,0.02,10,18,52,0,0
15m,0.02,0.02,10,18,56,0,0
15m,0.02,0.02,10,22,48,0,0
15m,0.02,0.02,10,22,52,0,0
15m,0.02,0.02,10,22,56,0,0
15m,0.02,0.02,15,14,48,0,0
15m,0.02,0.02,15,14,52,0,0
15m,0.02,0.02,15,14,56,0,0
15m,0.02,0.02,15,18,48,0,0
15m,0.02,0.02,15,18,52,0,0
15m,0.02,0.02,15,18,56,0,0
15m,0.02,0.02,15,22,48,0,0
15m,0.02,0.02,15,22,52,0,0
15m,0.02,0.02,15,22,56,0,0
30m,0.005,0.01,5,14,48,0.0,7
30m,0.005,0.01,5,14,52,0.0,4
30m,0.005,0.01,5,14,56,0.0,1
30m,0.005,0.01,5,18,48,0.0,7
30m,0.005,0.01,5,18,52,0.0,4
30m,0.005,0.01,5,18,56,0.0,1
30m,0.005,0.01,5,22,48,0.0,6
30m,0.005,0.01,5,22,52,0.0,4
30m,0.005,0.01,5,22,56,0.0,1
30m,0.005,0.01,10,14,48,0.0,6
30m,0.005,0.01,10,14,52,0.0,4
30m,0.005,0.01,10,14,56,0.0,1
30m,0.005,0.01,10,18,48,0.0,6
30m,0.005,0.01,10,18,52,0.0,4
30m,0.005,0.01,10,18,56,0.0,1
30m,0.005,0.01,10,22,48,0.0,6
30m,0.005,0.01,10,22,52,0.0,4
30m,0.005,0.01,10,22,56,0.0,1
30m,0.005,0.01,15,14,48,0.0,1
30m,0.005,0.01,15,14,52,0.0,1
30m,0.005,0.01,15,14,56,0,0
30m,0.005,0.01,15,18,48,0.0,1
30m,0.005,0.01,15,18,52,0.0,1
30m,0.005,0.01,15,18,56,0,0
30m,0.005,0.01,15,22,48,0.0,1
30m,0.005,0.01,15,22,52,0.0,1
30m,0.005,0.01,15,22,56,0,0
30m,0.005,0.015,5,14,48,0.0,7
30m,0.005,0.015,5,14,52,0.0,4
30m,0.005,0.015,5,14,56,0.0,1
30m,0.005,0.015,5,18,48,0.0,7
30m,0.005,0.015,5,18,52,0.0,4
30m,0.005,0.015,5,18,56,0.0,1
30m,0.005,0.015,5,22,48,0.0,6
30m,0.005,0.015,5,22,52,0.0,4
30m,0.005,0.015,5,22,56,0.0,1
30m,0.005,0.015,10,14,48,0.0,6
30m,0.005,0.015,10,14,52,0.0,4
30m,0.005,0.015,10,14,56,0.0,1
30m,0.005,0.015,10,18,48,0.0,6
30m,0.005,0.015,10,18,52,0.0,4
30m,0.005,0.015,10,18,56,0.0,1
30m,0.005,0.015,10,22,48,0.0,6
30m,0.005,0.015,10,22,52,0.0,4
30m,0.005,0.015,10,22,56,0.0,1
30m,0.005,0.015,15,14,48,0.0,1
30m,0.005,0.015,15,14,52,0.0,1
30m,0.005,0.015,15,14,56,0,0
30m,0.005,0.015,15,18,48,0.0,1
30m,0.005,0.015,15,18,52,0.0,1
30m,0.005,0.015,15,18,56,0,0
30m,0.005,0.015,15,22,48,0.0,1
30m,0.005,0.015,15,22,52,0.0,1
30m,0.005,0.015,15,22,56,0,0
30m,0.005,0.02,5,14,48,0.0,7
30m,0.005,0.02,5,14,52,0.0,4
30m,0.005,0.02,5,14,56,0.0,1
30m,0.005,0.02,5,18,48,0.0,7
30m,0.005,0.02,5,18,52,0.0,4
30m,0.005,0.02,5,18,56,0.0,1
30m,0.005,0.02,5,22,48,0.0,6
30m,0.005,0.02,5,22,52,0.0,4
30m,0.005,0.02,5,22,56,0.0,1
30m,0.005,0.02,10,14,48,0.0,6
30m,0.005,0.02,10,14,52,0.0,4
30m,0.005,0.02,10,14,56,0.0,1
30m,0.005,0.02,10,18,48,0.0,6
30m,0.005,0.02,10,18,52,0.0,4
30m,0.005,0.02,10,18,56,0.0,1
30m,0.005,0.02,10,22,48,0.0,6
30m,0.005,0.02,10,22,52,0.0,4
30m,0.005,0.02,10,22,56,0.0,1
30m,0.005,0.02,15,14,48,0.0,1
30m,0.005,0.02,15,14,52,0.0,1
30m,0.005,0.02,15,14,56,0,0
30m,0.005,0.02,15,18,48,0.0,1
30m,0.005,0.02,15,18,52,0.0,1
30m,0.005,0.02,15,18,56,0,0
30m,0.005,0.02,15,22,48,0.0,1
30m,0.005,0.02,15,22,52,0.0,1
30m,0.005,0.02,15,22,56,0,0
30m,0.01,0.01,5,14,48,0.0,7
30m,0.01,0.01,5,14,52,0.0,4
30m,0.01,0.01,5,14,56,0.0,1
30m,0.01,0.01,5,18,48,0.0,7
30m,0.01,0.01,5,18,52,0.0,4
30m,0.01,0.01,5,18,56,0.0,1
30m,0.01,0.01,5,22,48,0.0,6
30m,0.01,0.01,5,22,52,0.0,4
30m,0.01,0.01,5,22,56,0.0,1
30m,0.01,0.01,10,14,48,0.0,6
30m,0.01,0.01,10,14,52,0.0,4
30m,0.01,0.01,10,14,56,0.0,1
30m,0.01,0.01,10,18,48,0.0,6
30m,0.01,0.01,10,18,52,0.0,4
30m,0.01,0.01,10,18,56,0.0,1
30m,0.01,0.01,10,22,48,0.0,6
30m,0.01,0.01,10,22,52,0.0,4
30m,0.01,0.01,10,22,56,0.0,1
30m,0.01,0.01,15,14,48,0.0,1
30m,0.01,0.01,15,14,52,0.0,1
30m,0.01,0.01,15,14,56,0,0
30m,0.01,0.01,15,18,48,0.0,1
30m,0.01,0.01,15,18,52,0.0,1
30m,0.01,0.01,15,18,56,0,0
30m,0.01,0.01,15,22,48,0.0,1
30m,0.01,0.01,15,22,52,0.0,1
30m,0.01,0.01,15,22,56,0,0
30m,0.01,0.015,5,14,48,0.0,7
30m,0.01,0.015,5,14,52,0.0,4
30m,0.01,0.015,5,14,56,0.0,1
30m,0.01,0.015,5,18,48,0.0,7
30m,0.01,0.015,5,18,52,0.0,4
30m,0.01,0.015,5,18,56,0.0,1
30m,0.01,0.015,5,22,48,0.0,6
30m,0.01,0.015,5,22,52,0.0,4
30m,0.01,0.015,5,22,56,0.0,1
30m,0.01,0.015,10,14,48,0.0,6
30m,0.01,0.015,10,14,52,0.0,4
30m,0.01,0.015,10,14,56,0.0,1
30m,0.01,0.015,10,18,48,0.0,6
30m,0.01,0.015,10,18,52,0.0,4
30m,0.01,0.015,10,18,56,0.0,1
30m,0.01,0.015,10,22,48,0.0,6
30m,0.01,0.015,10,22,52,0.0,4
30m,0.01,0.015,10,22,56,0.0,1
30m,0.01,0.015,15,14,48,0.0,1
30m,0.01,0.015,15,14,52,0.0,1
30m,0.01,0.015,15,14,56,0,0
30m,0.01,0.015,15,18,48,0.0,1
30m,0.01,0.015,15,18,52,0.0,1
30m,0.01,0.015,15,18,56,0,0
30m,0.01,0.015,15,22,48,0.0,1
30m,0.01,0.015,15,22,52,0.0,1
30m,0.01,0.015,15,22,56,0,0
30m,0.01,0.02,5,14,48,0.0,7
30m,0.01,0.02,5,14,52,0.0,4
30m,0.01,0.02,5,14,56,0.0,1
30m,0.01,0.02,5,18,48,0.0,7
30m,0.01,0.02,5,18,52,0.0,4
30m,0.01,0.02,5,18,56,0.0,1
30m,0.01,0.02,5,22,48,0.0,6
30m,0.01,0.02,5,22,52,0.0,4
30m,0.01,0.02,5,22,56,0.0,1
